R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
63,Zach LaVine,"SG,SF",CHI,64,34.4,0.459(7.5/16.3),0.845(4.2/5.0),2.5,21.6,4.5,4,0.9,0.3,2.3,2.39
64,Jordan Poole,"PG,SG",WAS,77,31.5,0.422(6.9/16.3),0.871(3.7/4.2),2.6,20.1,2.9,5.7,1.1,0.3,2.9,2.3
65,Nicolas Claxton,C,BKN,72,30.1,0.621(5.4/8.7),0.555(1.7/3.0),0,12.5,9.8,2,0.8,2.2,1.3,2.23
66,Miles Bridges,"SF,PF",CHA,73,36.2,0.462(7.7/16.6),0.824(2.4/2.9),2.2,19.8,6.9,3.2,0.9,0.5,1.9,2.17
67,Tyler Herro,"PG,SG",MIA,67,33.6,0.440(7.4/16.8),0.903(2.4/2.7),3.1,20.2,5.3,4.3,0.7,0.2,2.3,2.15
68,Trey Murphy III,"SF,PF",NO,62,30,0.455(5.0/11.0),0.864(2.3/2.6),2.9,15.1,4.3,1.8,1.1,0.6,0.7,2.13
69,Isaiah Hartenstein,C,OKC,74,27.9,0.621(3.6/5.9),0.700(1.3/1.9),0.1,8.7,9,2.4,1.1,1.2,1.3,2.07
70,Walker Kessler,C,UTA,69,26.1,0.662(4.2/6.3),0.577(1.1/1.9),0,9.5,8.7,1,0.4,2.5,1,2.06
71,Mikal Bridges,"SG,SF,PF",NY,78,34,0.454(5.5/12.0),0.827(2.7/3.2),2.4,16,4.1,3.2,1.1,0.7,1.6,2.05
72,Brandon Ingram,"SG,SF,PF",NO,60,31.8,0.492(7.5/15.3),0.812(3.8/4.7),1.3,20.1,4.8,4.6,0.8,0.6,2.3,2.02
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3:00 PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
73,Devin Vassell,"SG,SF",SA,58,32.5,0.460(7.3/15.8),0.801(2.3/2.9),2.6,19.4,3.9,4,1.1,0.4,1.6,2.01
74,Anfernee Simons,"PG,SG",POR,60,33.9,0.440(7.6/17.2),0.905(3.0/3.3),3.4,21.4,3,4.9,0.6,0.2,2.3,1.99
75,Dereck Lively II,C,DAL,67,25.8,0.738(4.7/6.3),0.535(0.8/1.6),0,10.1,7.9,1.5,0.8,1.6,1,1.98
76,Collin Sexton,"PG,SG",UTA,70,30.7,0.487(6.9/14.2),0.843(4.5/5.4),1.7,20,2.9,4.9,0.8,0.2,2.4,1.91
